country,lead_time,total_of_special_requests,agent,required_car_parking_spaces,customer_type,stays_in_weekend_nights,stays_in_week_nights,booking_changes,record_count,arrival_date_week_number,adr
NLD,12,2,9,0,Transient,0,4,0,1,53,125.8
PRT,6,0,None / Unknown,1,Transient,1,0,0,1,30,176.0
PRT,1,0,45,0,Transient,0,1,0,1,22,0.0
USA,2,1,14,0,Transient,1,3,0,1,14,91.5
PRT,9,1,9,0,Transient,0,1,0,1,7,79.0
GBR,31,2,240,0,Transient-Party,0,3,0,1,7,48.0
AUT,127,0,16,0,Transient,0,3,0,1,30,98.1
PRT,20,0,None / Unknown,0,Transient,1,3,0,1,22,240.0
PRT,113,0,None / Unknown,0,Transient,2,4,0,1,33,214.84
ITA,74,1,9,0,Transient,1,2,0,1,13,92.4
CHE,164,0,250,0,Transient,4,10,0,1,29,153.0
PRT,151,1,8,0,Transient,0,3,0,2,15,126.0
PRT,53,0,6,0,Transient,2,2,0,1,46,29.0
DEU,133,0,9,0,Transient,0,3,0,1,34,124.8
PRT,36,1,314,0,Transient,0,3,0,1,13,81.0
PRT,12,1,8,0,Transient,2,0,0,1,4,78.0
GBR,182,2,240,0,Transient,4,6,0,1,13,44.7
IRL,172,2,8,0,Contract,2,5,0,1,40,59.03
NOR,329,2,9,0,Transient,0,4,10,1,19,104.4
PRT,6,0,None / Unknown,0,Transient,1,3,0,1,35,207.5
GBR,50,0,177,0,Transient,2,2,0,1,43,42.05
PRT,5,0,None / Unknown,0,Transient,1,0,0,1,22,45.0
PRT,46,1,241,0,Transient,2,2,0,1,17,68.0
CHE,85,2,9,0,Transient,1,2,0,1,43,113.4
NLD,77,1,9,0,Contract,0,3,0,1,46,72.25
PRT,19,1,None / Unknown,0,Transient,2,0,0,1,25,58.0
GBR,139,0,83,0,Transient,2,5,2,2,12,70.4
PRT,243,0,None / Unknown,0,Transient,0,4,0,24,30,110.0
PRT,62,1,None / Unknown,0,Transient,1,2,0,1,53,150.0
PRT,77,0,250,1,Transient,1,2,1,1,13,83.47
IRL,87,1,9,0,Transient,1,4,0,1,28,103.5
ITA,157,0,9,0,Transient,0,3,4,1,36,108.66
ESP,6,1,240,0,Transient,1,1,0,1,39,97.5
BEL,33,0,9,0,Transient,1,1,0,1,10,83.9
GBR,4,0,40,0,Transient,2,5,0,1,47,36.12
PRT,3,1,240,1,Transient,1,0,1,1,3,95.0
POL,4,2,9,0,Transient,0,2,0,1,28,140.0
GBR,178,1,9,0,Transient,2,2,0,1,27,89.1
PRT,3,1,240,0,Transient-Party,1,0,0,2,16,56.0
ESP,183,0,9,0,Transient,0,2,0,1,29,89.1
PRT,1,0,None / Unknown,0,Transient,1,0,0,1,5,79.0
IRL,50,1,9,0,Transient,1,1,0,1,29,150.0
SVK,59,1,9,0,Transient,0,2,0,1,53,131.4
NGA,31,0,9,0,Transient,1,3,0,1,47,74.8
FIN,46,1,7,0,Transient,2,2,0,1,11,59.56
PRT,1,0,171,0,Transient,0,0,0,1,10,0.0
PRT,108,3,241,0,Transient,0,5,0,1,33,108.92
PRT,13,0,315,0,Transient,2,5,0,1,39,90.0
ESP,147,1,6,1,Transient,0,2,0,1,30,127.2
FRA,109,1,9,0,Transient,2,3,0,1,33,76.5
CYP,215,0,None / Unknown,0,Transient,1,2,0,1,48,75.0
ESP,7,1,240,0,Transient-Party,0,1,0,2,52,43.0
FRA,99,1,6,0,Transient,2,5,0,1,18,56.0
USA,1,0,14,1,Transient,0,1,0,1,41,158.0
ESP,3,0,250,1,Transient,0,2,0,1,16,157.0
ITA,171,0,9,0,Transient,2,2,0,1,32,99.45
BRA,76,0,240,0,Transient,0,1,0,1,23,77.0
IRL,243,0,91,0,Transient-Party,2,3,1,1,41,53.1
BRA,27,0,9,0,Transient,2,0,2,1,27,250.0
ESP,84,2,240,0,Transient,2,4,0,1,52,37.8
FRA,16,1,7,0,Transient,2,3,1,1,6,70.69
PRT,4,1,9,0,Transient,2,0,0,1,3,82.9
PRT,63,1,9,0,Transient,0,1,0,1,30,105.3
IND,20,0,9,0,Transient,0,4,0,1,7,63.2
ESP,66,0,155,0,Transient,1,1,1,1,10,126.0
CHE,343,2,240,0,Transient,4,6,0,1,30,171.34
PRT,1,0,None / Unknown,1,Transient,0,1,0,1,49,43.0
FRA,1,1,9,0,Transient,0,1,0,1,32,145.0
GBR,31,0,459,0,Transient-Party,2,3,0,1,20,130.0
PRT,172,0,34,0,Transient-Party,0,2,0,15,26,95.0
PRT,237,0,240,0,Transient,1,4,0,1,32,126.0
IRL,60,0,14,0,Transient,2,1,0,1,7,67.5
USA,34,0,9,0,Transient,0,1,0,1,33,168.3
BGR,68,2,9,0,Transient,1,4,0,1,8,90.1
FRA,181,2,9,0,Transient,0,2,0,3,44,90.9
GBR,125,1,40,0,Contract,2,5,0,1,14,40.95
NLD,41,0,9,0,Transient,1,2,0,1,12,121.33
DOM,338,1,12,0,Transient-Party,1,2,0,1,41,90.67
PRT,24,0,240,0,Transient,2,4,0,1,29,164.0
PRT,289,1,8,0,Transient,2,2,0,1,32,89.1
PRT,13,3,None / Unknown,1,Transient,0,2,0,1,18,131.0
DEU,414,0,6,0,Transient-Party,0,2,1,13,28,95.5
DEU,130,0,9,0,Transient,0,3,0,1,24,108.0
PRT,1,2,None / Unknown,0,Transient,2,1,0,1,7,96.33
PRT,165,1,242,0,Transient,2,3,0,1,30,160.0
NLD,19,0,14,0,Transient,0,3,0,1,47,77.0
PRT,302,1,240,0,Transient,1,2,0,1,17,81.0
PRT,4,1,240,0,Transient,0,1,0,1,10,48.0
PRT,38,2,314,0,Transient,2,5,1,1,10,61.06
PRT,1,0,None / Unknown,1,Transient,0,1,0,1,47,41.0
PRT,132,0,9,0,Transient,0,1,0,1,27,89.1
CHE,1,0,None / Unknown,1,Transient,1,0,0,1,35,194.0
FRA,239,2,9,0,Contract,0,5,1,1,27,80.75
DEU,64,1,9,0,Transient,1,4,0,1,14,115.77
PRT,98,0,250,1,Transient,0,2,1,1,51,43.8
USA,30,1,7,0,Transient,0,1,0,1,23,96.0
ITA,44,1,9,0,Transient,0,4,2,1,34,152.1
PRT,70,0,20,0,Transient-Party,0,2,0,2,23,100.0
ITA,1,1,None / Unknown,0,Group,1,0,1,1,36,134.0
FRA,23,2,9,0,Transient,0,2,0,1,27,187.0
BEL,1,0,None / Unknown,0,Transient,0,1,0,1,22,95.0
BEL,61,1,9,0,Transient,2,2,0,1,11,82.45
CHE,60,0,9,0,Transient,0,2,0,1,24,145.8
PRT,50,1,8,0,Transient,0,4,0,1,24,130.0
IRL,131,1,314,0,Transient-Party,2,5,1,1,52,72.14
ITA,97,0,9,0,Transient,2,2,0,1,9,74.8
AGO,19,0,9,0,Transient,4,10,0,1,6,99.33
ESP,97,3,240,0,Transient-Party,2,4,2,2,32,230.0
SWE,186,1,9,0,Transient,1,4,0,1,34,130.05
PRT,165,2,410,0,Transient,2,2,0,1,25,49.95
FRA,81,1,9,0,Transient,0,2,0,1,34,161.1
PRT,5,3,None / Unknown,1,Transient,0,1,0,1,2,54.0
IRL,323,0,250,0,Transient,2,5,0,1,28,131.75
ESP,105,0,313,0,Transient-Party,2,4,0,24,47,69.0
ESP,95,0,14,0,Transient,1,3,0,1,11,94.2
NOR,329,2,9,0,Transient,0,4,2,1,19,109.8
PRT,12,2,9,0,Transient-Party,0,1,0,1,9,111.0
HUN,14,1,9,0,Transient,1,0,0,1,27,101.0
DEU,94,1,16,0,Transient-Party,1,5,1,3,14,110.75
PRT,2,0,None / Unknown,0,Transient,1,0,0,1,3,35.0
FRA,106,2,9,0,Transient,1,2,0,1,41,113.4
ESP,7,0,240,1,Transient,1,0,0,1,43,96.0
PRT,97,1,1,0,Transient-Party,0,2,0,4,41,62.0
FRA,95,2,242,0,Transient,2,4,2,1,15,52.2
COL,280,2,9,0,Transient,0,2,0,1,27,148.5
PRT,172,0,314,0,Transient,2,5,1,5,17,86.91
SWE,31,2,9,0,Transient,2,4,0,1,49,74.8
AGO,17,0,9,0,Transient,6,15,2,1,3,142.8
CHE,47,1,83,0,Transient,1,3,0,2,43,72.36
ITA,281,0,1,0,Transient-Party,2,1,1,1,40,96.0
PRT,2,0,28,0,Transient,2,3,0,1,27,63.75
PRT,2,0,28,0,Transient-Party,0,1,0,1,10,55.0
GBR,124,1,241,0,Transient,0,1,0,1,47,54.05
ESP,158,0,240,0,Transient,0,2,0,1,24,125.0
PRT,1,0,240,0,Transient,0,1,1,1,10,48.0
PRT,30,0,9,0,Transient,1,3,0,1,9,107.05
PHL,3,1,241,0,Transient,0,2,0,3,31,164.0
FIN,24,1,22,0,Transient,2,3,0,1,9,80.76
DEU,315,0,9,0,Transient,1,2,0,6,30,89.1
GBR,145,1,9,0,Transient,1,3,0,1,27,90.95
PRT,1,0,240,0,Transient,0,1,0,2,5,43.0
DEU,32,1,9,0,Transient,1,2,0,1,24,126.67
ESP,5,0,171,0,Transient,2,4,0,1,50,71.0
PRT,166,1,240,0,Transient,2,7,0,1,27,118.0
GBR,3,0,14,0,Transient,1,1,2,1,4,98.0
FRA,75,3,9,0,Transient,0,4,0,1,38,149.4
PRT,16,1,30,0,Transient-Party,2,2,1,2,8,75.0
AUT,170,0,9,0,Transient,0,3,0,1,21,139.5
FRA,26,0,250,0,Transient,2,5,1,1,7,102.0
ITA,4,0,14,0,Transient,0,1,2,1,35,75.0
PRT,265,0,6,0,Transient-Party,0,2,0,3,26,109.0
UKR,79,0,9,0,Transient,1,4,0,1,28,129.96
GBR,170,0,9,0,Transient,2,2,0,1,25,130.5
DEU,36,3,9,0,Transient,2,3,0,1,6,101.66
PRT,26,1,None / Unknown,0,Transient,0,1,1,1,28,0.0
DEU,19,2,9,0,Transient,4,7,1,1,15,140.05
GBR,143,2,9,0,Transient,1,4,0,2,39,129.6
FRA,84,1,9,0,Transient,2,2,0,1,16,171.0
GBR,25,0,9,0,Transient,1,0,0,1,39,185.0
BEL,116,0,14,0,Transient,2,3,0,1,46,105.74
NLD,215,0,None / Unknown,0,Transient,1,1,1,1,48,75.0
PRT,54,1,42,0,Transient,1,1,0,1,30,107.2
ESP,50,0,138,0,Transient,0,2,0,1,21,85.0
GBR,4,2,240,0,Transient,2,5,0,1,47,62.57
ITA,258,0,9,0,Transient,2,1,0,1,2,129.6
GBR,98,0,240,0,Transient,2,5,0,1,30,224.43
GBR,227,0,40,0,Contract,2,5,0,1,37,70.0
FRA,81,1,9,0,Transient,0,4,0,1,12,117.3
GBR,38,0,115,0,Transient,2,5,0,1,9,69.21
PRT,5,0,7,0,Transient,2,2,0,2,46,151.94
PRT,127,0,3,0,Transient-Party,1,3,0,1,18,80.0
MAR,214,2,9,0,Transient,2,3,4,1,27,125.1
FRA,74,0,28,0,Transient,1,2,0,1,50,75.0
PRT,33,1,240,0,Transient,2,4,0,1,32,330.0
IRL,200,0,9,0,Transient,0,5,0,1,31,148.5
BEL,91,0,9,0,Transient-Party,1,3,0,1,15,73.74
IRL,59,2,240,0,Transient,2,5,0,1,30,212.14
ITA,5,1,9,0,Transient,1,2,0,1,17,136.0
PRT,1,1,240,0,Transient,0,1,2,1,29,8.0
ITA,308,0,9,0,Transient,0,4,0,1,33,96.25
ESP,172,1,138,0,Transient,2,2,0,1,15,112.1
PRT,261,2,240,0,Transient,3,8,0,1,28,94.5
GBR,165,0,40,0,Contract,3,7,0,1,37,51.75
FRA,40,2,9,0,Transient,0,1,0,1,36,109.8
PRT,7,0,None / Unknown,0,Transient,0,2,0,1,11,95.0
NOR,60,1,7,0,Transient,0,1,0,1,29,152.0
DEU,85,1,240,0,Transient,2,5,0,1,22,120.0
ESP,30,0,240,0,Transient,0,3,0,1,22,75.0
ESP,1,0,None / Unknown,0,Transient,0,1,0,1,2,43.0
GBR,188,1,26,0,Transient,2,2,0,1,38,61.56
DEU,6,1,240,0,Transient,0,1,0,1,39,106.0
SWE,44,0,425,0,Transient,1,1,2,1,28,73.8
VNM,3,1,157,0,Transient,1,2,0,1,33,92.0
GBR,4,0,526,0,Transient,2,2,0,1,23,95.0
PRT,9,1,None / Unknown,1,Transient,1,2,0,1,19,50.0
GBR,71,1,9,0,Transient,1,3,0,1,12,70.13
IRL,200,0,250,0,Transient,2,1,0,1,16,44.88
GBR,70,0,156,0,Transient,1,2,0,1,51,21.37
FRA,95,1,9,0,Transient,2,4,1,1,35,131.4
ESP,19,1,240,0,Transient,0,2,0,1,18,65.0
ITA,140,0,9,0,Transient,1,1,0,1,32,125.0
PRT,94,1,241,0,Transient,2,7,0,1,53,73.7
IRL,77,1,9,0,Transient,1,2,0,1,13,79.2
PRT,12,2,None / Unknown,1,Transient,0,1,0,1,10,89.0
GBR,42,0,9,0,Transient,2,2,0,1,16,146.25
BEL,160,0,9,0,Transient,0,1,0,1,44,80.1
PRT,1,0,None / Unknown,0,Transient,0,1,0,1,45,35.0
GBR,88,1,9,0,Transient,2,1,0,1,27,102.3
BRA,149,1,9,0,Transient,2,2,1,1,8,91.6
GBR,40,0,None / Unknown,0,Transient,0,1,0,1,8,61.0
DEU,234,1,9,0,Transient,0,4,0,1,44,103.7
FRA,29,0,85,0,Transient,0,4,0,1,11,68.0
DEU,57,1,14,0,Transient,1,1,1,1,7,91.5
FRA,43,2,9,0,Transient,2,2,0,1,4,74.8
PRT,475,0,1,0,Transient,0,1,0,2,44,59.0
GBR,44,1,2,0,Contract,2,5,0,1,12,72.43
SWE,5,1,9,0,Transient,0,2,0,1,35,129.0
PRT,342,2,240,0,Transient,1,4,0,1,33,185.4
FRA,85,1,138,0,Transient,1,2,0,1,16,99.0
PRT,30,1,14,0,Transient,0,1,1,1,20,194.0
PRT,299,1,115,0,Transient,4,5,0,1,38,71.55
PRT,46,0,None / Unknown,0,Transient-Party,2,0,0,19,1,65.0
FRA,1,1,None / Unknown,1,Transient,1,0,1,1,22,172.0
PRT,1,0,314,0,Transient,0,1,0,1,42,37.6
IRL,2,0,250,0,Transient,2,5,0,1,37,131.14
ESP,11,0,250,1,Transient,2,2,0,1,15,129.5
PRT,6,0,None / Unknown,0,Transient,0,1,0,1,21,65.0
BEL,177,1,9,0,Transient,1,4,2,1,32,130.05
NOR,279,0,9,0,Transient,0,3,0,1,28,139.5
ESP,1,1,240,0,Transient,0,1,0,1,28,131.0
ESP,30,0,250,1,Transient,1,4,0,1,13,80.0
PRT,192,0,240,0,Transient,3,6,1,1,35,195.0
PRT,297,0,None / Unknown,0,Transient,2,1,0,1,28,110.0
ESP,76,1,240,0,Transient-Party,1,1,0,1,17,82.0
IRL,130,1,9,0,Transient,1,3,0,1,35,97.65
PRT,64,1,None / Unknown,0,Transient,0,3,1,1,21,70.0
FRA,110,0,28,0,Transient,0,3,0,1,19,115.0
PRT,17,0,None / Unknown,0,Transient-Party,0,1,0,1,4,32.0
FRA,207,1,9,0,Transient,1,3,1,1,36,123.25
GBR,152,0,None / Unknown,0,Transient-Party,1,4,1,2,14,60.0
PRT,37,0,9,0,Transient-Party,0,2,0,1,38,85.5
FRA,76,2,9,0,Transient,2,4,0,1,14,126.0
HRV,1,0,9,0,Transient,2,3,0,1,2,88.74
DEU,38,1,8,0,Transient,1,2,0,1,39,145.8
FRA,1,1,None / Unknown,0,Transient,0,1,0,1,36,139.0
FRA,84,1,9,0,Transient,2,5,0,1,20,140.14
FRA,14,2,14,0,Transient,2,3,3,1,28,132.0
ESP,15,2,240,0,Transient-Party,1,2,0,2,49,64.67
GBR,168,1,9,0,Transient,1,3,0,1,29,107.1
ITA,14,0,6,0,Transient,2,5,0,1,41,153.03
IRL,13,3,9,0,Transient,2,3,0,1,7,108.8
ITA,115,0,98,0,Transient-Party,2,0,1,1,34,125.0
ESP,29,2,9,0,Transient,2,1,0,1,40,111.67
NLD,132,1,121,0,Transient,2,6,0,1,29,96.9
PRT,171,0,85,0,Transient,2,5,0,1,39,80.75
BRA,106,1,7,0,Transient,0,1,0,1,5,192.8
GBR,286,0,None / Unknown,0,Transient-Party,1,4,1,1,42,44.5
PRT,151,1,9,0,Transient,1,5,0,1,28,137.13
PRT,1,0,None / Unknown,0,Transient,1,0,0,1,43,76.0
PRT,3,0,None / Unknown,0,Transient,0,1,0,1,5,39.0
PRT,25,1,8,0,Transient,1,0,0,1,16,101.0
GBR,55,0,240,0,Transient,2,5,0,1,53,94.29
GBR,160,1,9,0,Transient,2,2,0,1,22,99.45
ESP,32,0,240,1,Transient,0,3,0,1,37,120.0
ESP,165,1,9,0,Transient,0,3,0,1,35,112.8
FRA,41,2,9,0,Transient,2,2,0,1,34,152.1
PRT,1,0,None / Unknown,0,Transient,0,1,0,1,5,45.0
PRT,237,0,240,0,Transient,3,7,0,1,35,180.38
BRA,96,0,240,0,Transient,0,2,0,1,32,233.0
ESP,4,1,240,0,Transient,1,0,0,1,30,159.0
ITA,12,1,9,0,Transient,2,1,0,1,21,163.33
GBR,104,1,241,0,Transient,2,2,2,1,35,175.23
AUT,116,0,9,0,Transient,2,1,0,1,20,112.5
PRT,41,0,22,0,Transient,0,5,0,1,12,73.8
FRA,9,2,9,0,Transient,0,2,0,1,27,189.0
PRT,58,0,168,0,Transient,1,2,0,1,24,125.1
FRA,150,1,8,0,Transient,2,0,0,1,22,108.0
FIN,180,1,240,0,Transient,0,4,3,1,13,55.8
PRT,1,0,None / Unknown,0,Transient,0,1,0,1,8,40.0
PRT,8,0,None / Unknown,0,Transient-Party,0,3,0,1,11,100.0
FRA,137,0,9,0,Transient,2,5,0,1,32,103.09
CHE,54,0,9,0,Transient,2,5,0,1,16,114.63
POL,2,0,28,0,Transient,1,1,0,1,3,75.0
CN,120,0,410,0,Transient,2,2,0,1,22,56.7
FRA,37,0,None / Unknown,0,Transient,2,2,0,1,10,73.1
NLD,41,2,9,0,Transient,2,3,1,1,18,127.83
DEU,7,0,10,0,Transient,0,1,0,1,5,66.7
NLD,4,1,7,0,Transient,1,1,0,1,17,73.92
PRT,2,0,8,0,Group,0,1,0,1,21,42.0
GRC,1,0,None / Unknown,0,Transient,0,3,0,1,3,88.0
PRT,23,1,9,0,Contract,0,3,0,1,40,111.33
FRA,20,1,9,0,Transient,1,0,0,1,16,153.0
FRA,78,0,28,0,Transient,0,4,0,1,18,75.0
GBR,99,0,9,0,Transient,2,1,0,1,19,137.7
IRL,92,0,14,0,Transient,2,5,0,1,25,120.58
SWE,1,1,9,0,Transient,1,0,1,1,42,108.0
BRA,1,0,220,0,Transient-Party,2,5,0,1,53,86.43
SYR,1,0,None / Unknown,0,Transient-Party,1,1,3,1,6,104.0
PRT,422,0,229,0,Transient,0,1,0,10,24,90.0
PRT,4,1,None / Unknown,1,Transient,1,0,0,1,49,67.0
PRT,47,1,240,0,Transient,1,2,0,1,7,48.0
PRT,5,1,240,0,Transient,0,2,0,1,18,87.0
PRT,16,1,393,0,Transient-Party,2,0,0,1,20,48.6
PRT,27,0,None / Unknown,0,Transient-Party,1,2,0,1,3,55.0
PRT,2,0,None / Unknown,0,Transient,2,1,0,1,31,182.6
FRA,270,1,9,0,Transient,1,3,0,1,29,89.1
FRA,27,0,28,0,Transient,1,0,0,1,22,139.0
ESP,50,0,147,0,Transient,2,5,0,1,30,101.68
PRT,194,0,241,0,Transient,4,10,0,1,18,139.51
PRT,12,3,None / Unknown,0,Transient-Party,2,5,0,1,34,153.0
ESP,145,1,9,1,Transient,0,2,0,1,27,105.3
FRA,142,2,9,0,Transient-Party,0,5,0,1,28,119.0
GBR,2,0,115,0,Transient,2,4,0,1,7,26.1
PRT,16,0,None / Unknown,0,Transient-Party,0,1,0,1,11,75.0
FRA,17,1,20,0,Transient-Party,2,5,0,1,12,75.0
PRT,48,0,240,0,Transient,2,3,0,1,31,115.0
BEL,19,0,138,0,Transient,1,1,0,1,30,75.0
NLD,94,1,7,0,Transient,0,3,0,1,10,71.1
ITA,81,1,14,0,Transient,1,1,0,1,5,87.0
PRT,2,0,7,0,Transient,0,4,0,1,27,214.0
BEL,22,0,9,0,Transient,2,3,0,1,14,137.0
IRL,215,1,14,0,Transient,1,4,0,1,24,103.53
BEL,92,0,240,0,Transient,2,5,0,1,19,68.0
IRL,39,1,9,0,Transient,1,2,0,1,24,120.0
ESP,1,1,9,1,Transient,1,4,1,1,8,82.4
PRT,2,0,146,0,Transient,0,1,0,1,47,30.0
PRT,6,1,7,0,Transient,2,2,1,1,40,211.41
CN,25,1,240,0,Transient,2,1,0,1,48,43.0
PRT,1,2,None / Unknown,1,Transient,1,0,0,1,24,82.0
FRA,4,2,None / Unknown,0,Transient-Party,0,2,1,1,24,160.0
BRA,1,1,240,0,Transient,0,3,1,1,3,76.0
PRT,40,0,None / Unknown,0,Transient,2,1,1,1,12,67.0
PRT,115,2,None / Unknown,0,Transient,0,3,0,1,10,65.0
GBR,150,1,7,0,Transient,2,2,0,1,24,72.42
ESP,40,1,9,0,Transient,0,3,0,1,13,108.5
USA,57,2,240,0,Transient-Party,0,3,0,1,25,248.0
IRL,56,0,240,0,Transient,1,3,0,1,40,169.0
GBR,222,0,9,0,Transient,0,1,0,1,44,168.3
GBR,160,0,40,0,Contract,2,5,0,1,23,76.5
GBR,289,0,40,0,Contract,2,8,1,1,19,72.95
FRA,16,1,None / Unknown,0,Transient,0,1,0,1,38,95.0
ESP,49,0,9,0,Transient,1,2,0,1,23,131.4
NLD,60,1,14,0,Transient-Party,2,4,0,1,44,85.43
FRA,137,2,28,0,Transient,2,1,0,1,7,93.0
GBR,203,0,None / Unknown,1,Transient-Party,0,3,1,2,21,67.0
PRT,31,0,None / Unknown,0,Transient,0,5,2,1,41,80.0
NOR,138,1,7,0,Transient,0,5,2,1,33,101.49
GBR,115,1,243,0,Contract,2,5,0,1,22,70.4
PRT,56,0,None / Unknown,0,Transient-Party,1,0,0,1,23,120.0
DEU,222,1,9,0,Transient,2,3,0,1,41,102.85
IRL,98,0,175,0,Transient,2,5,0,1,32,123.0
USA,202,1,9,0,Transient,2,1,0,1,15,103.05
FRA,68,0,9,0,Transient,1,2,0,1,9,80.3
ESP,49,1,None / Unknown,0,Transient-Party,0,1,4,1,8,65.0
ESP,116,0,14,1,Transient,0,2,0,1,15,126.0
BRA,28,0,9,0,Transient,0,2,0,1,35,210.0
PRT,159,2,240,0,Transient,0,5,0,1,39,74.0
PRT,68,1,8,0,Transient-Party,2,2,0,2,42,89.25
DEU,115,0,69,0,Transient,2,5,0,1,48,19.35
FRA,1,0,28,0,Transient,0,3,0,1,20,95.0
BRA,143,1,250,0,Transient,1,1,1,1,1,34.02
Missing,1,0,None / Unknown,0,Transient,0,1,0,1,47,38.0
FRA,9,1,9,0,Transient,0,3,0,1,18,131.0
JPN,181,2,9,0,Transient,0,4,0,1,35,119.25
FRA,46,1,9,0,Transient,2,3,0,1,11,100.3
NLD,13,0,83,0,Group,2,5,0,1,43,131.97
PRT,1,0,None / Unknown,0,Transient,0,1,0,1,44,85.0
FRA,32,0,28,0,Transient,2,2,0,1,12,85.0
SWE,110,0,234,0,Transient-Party,1,0,1,1,42,120.0
SRB,2,0,None / Unknown,0,Transient,0,1,1,1,15,89.0
PRT,1,0,None / Unknown,0,Transient,0,1,0,1,46,71.1
PRT,1,0,None / Unknown,0,Transient,0,2,1,1,11,55.0
PRT,1,0,None / Unknown,1,Transient,0,1,0,1,17,48.5
NLD,12,1,9,0,Transient,0,2,0,1,24,121.0
PRT,1,0,None / Unknown,0,Transient-Party,1,2,1,1,40,145.0
LTU,8,0,250,0,Transient,2,5,4,1,52,79.43
PRT,1,0,None / Unknown,1,Transient,0,1,0,1,16,95.0
DEU,138,0,9,0,Transient,0,3,0,3,26,117.0
ITA,10,0,28,0,Transient,1,1,0,1,21,109.5
FRA,63,0,250,0,Transient,0,5,1,1,21,162.0
PRT,133,0,6,0,Transient,2,5,0,1,29,216.25
ESP,43,0,14,0,Transient,2,3,0,1,1,98.0
PRT,109,1,240,0,Transient,1,2,0,1,53,198.33
FRA,102,0,28,0,Transient,1,2,0,1,21,75.0
FIN,261,0,11,0,Transient,2,5,0,1,31,65.49
USA,23,0,9,0,Transient,1,1,1,1,21,156.0
PRT,9,0,250,1,Transient,0,3,0,1,37,213.6
DEU,90,0,9,0,Transient,0,3,0,1,14,96.3
GBR,24,1,9,0,Transient,1,3,0,1,25,107.1
ROU,43,0,240,0,Transient,2,8,0,1,35,206.6
PRT,7,0,26,0,Transient-Party,1,1,0,1,41,112.2
CHE,33,1,7,0,Group,0,2,0,1,40,79.35
PRT,1,0,None / Unknown,0,Transient,0,0,1,1,20,0.0
HUN,136,4,240,0,Transient,0,5,0,1,32,252.0
ESP,38,0,240,0,Transient,2,5,0,1,21,152.0
FIN,31,0,14,0,Transient,0,1,1,1,17,119.0
PRT,126,1,7,0,Transient,1,2,0,2,31,77.03
PRT,140,1,9,0,Transient,0,1,0,2,33,155.0
PRT,42,0,240,0,Transient,1,4,0,1,29,120.0
BEL,15,0,9,0,Transient-Party,2,1,0,1,8,93.0
PRT,1,1,None / Unknown,0,Transient,0,1,0,1,14,0.0
LBN,13,0,9,0,Transient,0,1,0,1,21,170.0
RUS,171,0,9,0,Transient,0,2,0,1,29,107.1
FRA,46,0,28,0,Transient,0,2,0,1,46,75.0
PRT,1,0,None / Unknown,0,Transient,0,1,0,1,20,265.0
PRT,329,0,5,0,Transient,2,3,0,12,37,90.0
USA,121,0,11,0,Transient,2,4,0,1,37,89.76
CHE,22,1,240,1,Transient,1,1,0,1,43,66.0
Missing,31,1,None / Unknown,0,Transient-Party,0,2,1,1,53,222.5
GBR,143,0,15,0,Transient,2,2,1,1,29,115.6
